3964
(1,-8.277174,41.210884)
(2,-8.279985,41.211097)
(3,-8.267871,41.195997)
(4,-8.301302,41.193568)
(5,-8.308538,41.198596)
(6,-8.27465,41.196895)
(7,-8.28616,41.208936)
(8,-8.309042,41.200996)
(9,-8.28774,41.215383)
(10,-8.264466,41.202697)
(11,-8.268574,41.191153)
(12,-8.276175,41.208603)
(13,-8.276405,41.2083)
(14,-8.255358,41.20988)
(15,-8.265754,41.226297)
(16,-8.304631,41.193623)
(17,-8.290681,41.200864)
(18,-8.307102,41.195209)
(19,-8.292577,41.20424)
(20,-8.294233,41.202072)
(21,-8.264838,41.191333)
(22,-8.285892,41.199997)
(23,-8.292116,41.197178)
(24,-8.276336,41.208191)
(25,-8.287656,41.202875)
(26,-8.267952,41.223344)
(27,-8.279225,41.194624)
(28,-8.2709,41.188996)
(29,-8.316196,41.202249)
(30,-8.264648,41.206395)
(31,-8.275812,41.209891)
(32,-8.270935,41.192974)
(33,-8.266691,41.212258)
(34,-8.284488,41.211627)
(35,-8.269194,41.19538)
(36,-8.269159,41.190297)
(37,-8.292545,41.199521)
(38,-8.287903,41.202399)
(39,-8.274783,41.211796)
(40,-8.277626,41.209052)
(41,-8.266772,41.186394)
(42,-8.282859,41.213607)
(43,-8.277817,41.214306)
(44,-8.282346,41.20294)
(45,-8.270387,41.213061)
(46,-8.261948,41.19856)
(47,-8.273399,41.220856)
(48,-8.306175,41.195297)
(49,-8.288849,41.2062)
(50,-8.27836,41.209989)
(51,-8.274282,41.193446)
(52,-8.28109,41.195881)
(53,-8.282696,41.206378)
(54,-8.27316,41.19261)
(55,-8.274607,41.19806)
(56,-8.288182,41.213399)
(57,-8.274597,41.198016)
(58,-8.282729,41.2117)
(59,-8.264001,41.203458)
(60,-8.274766,41.19792)
(61,-8.288043,41.212814)
(62,-8.270457,41.208434)
(63,-8.263818,41.197342)
(64,-8.274165,41.190187)
(65,-8.271582,41.200099)
(66,-8.269291,41.213963)
(67,-8.255279,41.207046)
(68,-8.279213,41.211111)
(69,-8.270717,41.210985)
(70,-8.281065,41.208154)
(71,-8.263678,41.215159)
(72,-8.270228,41.212819)
(73,-8.270802,41.205154)
(74,-8.270393,41.212543)
(75,-8.267239,41.207169)
(76,-8.309594,41.202993)
(77,-8.273075,41.194134)
(78,-8.258913,41.194843)
(79,-8.284455,41.211636)
(80,-8.282189,41.209735)
(81,-8.28547,41.20631)
(82,-8.29865,41.194335)
(83,-8.283066,41.213013)
(84,-8.258607,41.194209)
(85,-8.264379,41.205802)
(86,-8.278793,41.225271)
(87,-8.27309,41.205629)
(88,-8.286728,41.204901)
(89,-8.266267,41.226305)
(90,-8.2996,41.192986)
(91,-8.304725,41.193768)
(92,-8.292169,41.208388)
(93,-8.286855,41.214742)
(94,-8.305349,41.194126)
(95,-8.271687,41.219508)
(96,-8.277985,41.206953)
(97,-8.272676,41.189)
(98,-8.264894,41.191135)
(99,-8.308969,41.198683)
(100,-8.274801,41.193027)
(101,-8.259997,41.200268)
(102,-8.286415,41.198545)
(103,-8.256292,41.209027)
(104,-8.284288,41.206478)
(105,-8.286585,41.195505)
(106,-8.284669,41.206567)
(107,-8.274039,41.193887)
(108,-8.272344,41.20315)
(109,-8.261253,41.220036)
(110,-8.28981,41.203342)
(111,-8.289574,41.204364)
(112,-8.286872,41.195263)
(113,-8.296133,41.197582)
(114,-8.295037,41.19961)
(115,-8.282818,41.209506)
(116,-8.272211,41.20329)
(117,-8.292437,41.20308)
(118,-8.261182,41.214609)
(119,-8.286884,41.206362)
(120,-8.264325,41.200295)
(121,-8.303012,41.193744)
(122,-8.270278,41.211136)
(123,-8.277059,41.210563)
(124,-8.289982,41.202557)
(125,-8.285783,41.196254)
(126,-8.306695,41.195098)
(127,-8.266397,41.206637)
(128,-8.292052,41.197131)
(129,-8.28805,41.212148)
(130,-8.308862,41.198598)
(131,-8.273625,41.209438)
(132,-8.263366,41.186995)
(133,-8.273289,41.215585)
(134,-8.309348,41.195745)
(135,-8.264063,41.203513)
(136,-8.288517,41.196751)
(137,-8.270025,41.206721)
(138,-8.271809,41.200245)
(139,-8.261279,41.214694)
(140,-8.282737,41.208777)
(141,-8.273372,41.192806)
(142,-8.265965,41.192567)
(143,-8.283484,41.207747)
(144,-8.293982,41.199015)
(145,-8.272294,41.206829)
(146,-8.287676,41.206589)
(147,-8.27417,41.189813)
(148,-8.299436,41.192917)
(149,-8.261126,41.196146)
(150,-8.284667,41.211876)
(151,-8.281622,41.198386)
(152,-8.271943,41.203233)
(153,-8.286047,41.206409)
(154,-8.308809,41.202272)
(155,-8.279238,41.194703)
(156,-8.30011,41.194362)
(157,-8.308683,41.199029)
(158,-8.289964,41.203013)
(159,-8.272153,41.203302)
(160,-8.284606,41.211646)
(161,-8.272517,41.211297)
(162,-8.309135,41.198628)
(163,-8.262046,41.186087)
(164,-8.282326,41.207512)
(165,-8.265967,41.185794)
(166,-8.270469,41.212694)
(167,-8.312521,41.202442)
(168,-8.285033,41.213633)
(169,-8.308501,41.198977)
(170,-8.287139,41.214773)
(171,-8.286753,41.211582)
(172,-8.270455,41.212627)
(173,-8.309055,41.201652)
(174,-8.282722,41.207422)
(175,-8.293929,41.196312)
(176,-8.284673,41.211703)
(177,-8.285612,41.207274)
(178,-8.259369,41.194112)
(179,-8.257957,41.227883)
(180,-8.287477,41.215355)
(181,-8.273828,41.192517)
(182,-8.274192,41.213924)
(183,-8.282803,41.209075)
(184,-8.270278,41.211093)
(185,-8.27888,41.210946)
(186,-8.294822,41.196381)
(187,-8.285952,41.214246)
(188,-8.275236,41.193952)
(189,-8.2559,41.207454)
(190,-8.278837,41.194355)
(191,-8.257765,41.224466)
(192,-8.256042,41.20923)
(193,-8.2719,41.201592)
(194,-8.263092,41.212504)
(195,-8.267328,41.202613)
(196,-8.266061,41.192644)
(197,-8.294895,41.198972)
(198,-8.307064,41.195371)
(199,-8.309024,41.196055)
(200,-8.290689,41.195862)
(201,-8.287311,41.203393)
(202,-8.27547,41.196981)
(203,-8.282088,41.205793)
(204,-8.273958,41.193774)
(205,-8.286789,41.207141)
(206,-8.288208,41.21168)
(207,-8.274196,41.196643)
(208,-8.259906,41.200978)
(209,-8.273748,41.194123)
(210,-8.260697,41.193848)
(211,-8.291518,41.200068)
(212,-8.268698,41.207181)
(213,-8.309416,41.198558)
(214,-8.265715,41.191121)
(215,-8.280802,41.195809)
(216,-8.288634,41.200953)
(217,-8.283497,41.206261)
(218,-8.282668,41.198588)
(219,-8.264634,41.195417)
(220,-8.277479,41.225528)
(221,-8.270216,41.205874)
(222,-8.272818,41.194607)
(223,-8.286934,41.214744)
(224,-8.265578,41.215205)
(225,-8.284719,41.207228)
(226,-8.284637,41.211671)
(227,-8.281633,41.20304)
(228,-8.270255,41.212986)
(229,-8.271,41.229077)
(230,-8.289773,41.207105)
(231,-8.278849,41.213534)
(232,-8.274251,41.193605)
(233,-8.307782,41.195839)
(234,-8.258093,41.231152)
(235,-8.275168,41.211073)
(236,-8.295709,41.198755)
(237,-8.26502,41.192562)
(238,-8.284479,41.207781)
(239,-8.274978,41.193369)
(240,-8.279421,41.224476)
(241,-8.265756,41.195448)
(242,-8.291384,41.202697)
(243,-8.273851,41.209203)
(244,-8.308257,41.195914)
(245,-8.28958,41.203285)
(246,-8.273178,41.196114)
(247,-8.272587,41.21677)
(248,-8.298602,41.194231)
(249,-8.26781,41.202123)
(250,-8.299191,41.191344)
(251,-8.265088,41.186123)
(252,-8.26049,41.197894)
(253,-8.273775,41.196564)
(254,-8.310566,41.196485)
(255,-8.306317,41.195089)
(256,-8.267174,41.191515)
(257,-8.291797,41.201738)
(258,-8.28213,41.205168)
(259,-8.255407,41.209801)
(260,-8.310653,41.195228)
(261,-8.26429,41.205885)
(262,-8.270028,41.196395)
(263,-8.262802,41.212444)
(264,-8.280482,41.195638)
(265,-8.309101,41.20272)
(266,-8.283135,41.21353)
(267,-8.276554,41.204528)
(268,-8.271059,41.199646)
(269,-8.286962,41.214739)
(270,-8.293001,41.199821)
(271,-8.281222,41.211824)
(272,-8.309697,41.200972)
(273,-8.259757,41.200906)
(274,-8.279142,41.194538)
(275,-8.281405,41.215067)
(276,-8.277222,41.20787)
(277,-8.308927,41.198639)
(278,-8.269945,41.207371)
(279,-8.31566,41.202306)
(280,-8.311377,41.195618)
(281,-8.271176,41.205224)
(282,-8.284015,41.212043)
(283,-8.284173,41.212345)
(284,-8.290251,41.204597)
(285,-8.288416,41.196197)
(286,-8.270685,41.209486)
(287,-8.267072,41.195903)
(288,-8.310205,41.195445)
(289,-8.275405,41.193522)
(290,-8.281626,41.20368)
(291,-8.270608,41.212727)
(292,-8.310194,41.196098)
(293,-8.298508,41.19293)
(294,-8.25956,41.213538)
(295,-8.275896,41.206416)
(296,-8.265702,41.204517)
(297,-8.284613,41.211918)
(298,-8.276986,41.194338)
(299,-8.272321,41.206765)
(300,-8.258233,41.208419)
(301,-8.293537,41.20297)
(302,-8.276519,41.208265)
(303,-8.304547,41.193517)
(304,-8.301159,41.194179)
(305,-8.290695,41.200679)
(306,-8.25617,41.224961)
(307,-8.284617,41.21204)
(308,-8.28471,41.210046)
(309,-8.303172,41.202689)
(310,-8.272866,41.193398)
(311,-8.272653,41.211412)
(312,-8.299146,41.192857)
(313,-8.265363,41.201288)
(314,-8.311164,41.195164)
(315,-8.27343,41.193092)
(316,-8.292474,41.197267)
(317,-8.288132,41.212976)
(318,-8.266621,41.20151)
(319,-8.292114,41.19696)
(320,-8.262481,41.197091)
(321,-8.264123,41.207779)
(322,-8.263252,41.197396)
(323,-8.311695,41.19536)
(324,-8.274266,41.194085)
(325,-8.278651,41.211619)
(326,-8.27339,41.211887)
(327,-8.260655,41.206909)
(328,-8.260549,41.193894)
(329,-8.275986,41.206497)
(330,-8.264889,41.191216)
(331,-8.258119,41.211594)
(332,-8.310905,41.197503)
(333,-8.255382,41.207078)
(334,-8.307751,41.202008)
(335,-8.277451,41.210102)
(336,-8.28243,41.207251)
(337,-8.273556,41.192554)
(338,-8.284865,41.206624)
(339,-8.275709,41.212742)
(340,-8.292418,41.199673)
(341,-8.264636,41.206175)
(342,-8.273896,41.196489)
(343,-8.294996,41.198456)
(344,-8.273413,41.192588)
(345,-8.267622,41.191793)
(346,-8.261346,41.206818)
(347,-8.26737,41.189118)
(348,-8.271952,41.203472)
(349,-8.290662,41.200661)
(350,-8.275622,41.2076)
(351,-8.299114,41.192265)
(352,-8.274872,41.193868)
(353,-8.28817,41.213114)
(354,-8.257897,41.203993)
(355,-8.267657,41.207779)
(356,-8.281298,41.204358)
(357,-8.299152,41.192185)
(358,-8.282284,41.20735)
(359,-8.263546,41.199659)
(360,-8.298167,41.193121)
(361,-8.279939,41.197277)
(362,-8.279736,41.197107)
(363,-8.272713,41.216351)
(364,-8.260182,41.206813)
(365,-8.270675,41.211005)
(366,-8.266913,41.212045)
(367,-8.309144,41.196201)
(368,-8.286295,41.204639)
(369,-8.263351,41.209121)
(370,-8.288895,41.195565)
(371,-8.265925,41.21244)
(372,-8.285943,41.201132)
(373,-8.290197,41.209846)
(374,-8.289034,41.210626)
(375,-8.279327,41.1947)
(376,-8.278149,41.207471)
(377,-8.26354,41.208811)
(378,-8.272065,41.202977)
(379,-8.273916,41.228381)
(380,-8.268997,41.21407)
(381,-8.283363,41.207657)
(382,-8.266194,41.215143)
(383,-8.275408,41.193627)
(384,-8.294615,41.196632)
(385,-8.259014,41.219997)
(386,-8.272942,41.194159)
(387,-8.294118,41.198895)
(388,-8.274212,41.192209)
(389,-8.275306,41.197088)
(390,-8.271757,41.2199)
(391,-8.259199,41.195619)
(392,-8.277858,41.194445)
(393,-8.290944,41.199771)
(394,-8.270143,41.211106)
(395,-8.298482,41.194363)
(396,-8.274824,41.193898)
(397,-8.285259,41.206672)
(398,-8.259434,41.198992)
(399,-8.269938,41.211137)
(400,-8.262839,41.215457)
(401,-8.268553,41.194336)
(402,-8.255046,41.206748)
(403,-8.27936,41.196895)
(404,-8.277293,41.207846)
(405,-8.283148,41.209024)
(406,-8.277157,41.207791)
(407,-8.279171,41.196853)
(408,-8.293021,41.197641)
(409,-8.303917,41.193799)
(410,-8.264985,41.208806)
(411,-8.285697,41.205503)
(412,-8.295458,41.19248)
(413,-8.273068,41.212019)
(414,-8.282551,41.206496)
(415,-8.310146,41.198359)
(416,-8.286631,41.195266)
(417,-8.259919,41.200453)
(418,-8.284176,41.207231)
(419,-8.273003,41.194025)
